PROFICIENCY	LANG_HELP	LANG_UNDERSTAND	LANG_LEARN	LANG_ATM	LING_HELP	LING_UNDERSTAND	LING_LEARN	LING_ATM
B2	1	1	1	-	1	-	1	-
C1	1	-	1	-	1	-	1	-
B2	0	-	-	-	0	-	-	-
C1	0	0	-	-	0	-	1	-
B2	1	1	1	1	1	1	1	1
C1	1	1	1	1	1	1	1	1
C2	1	1	1	1	1	1	1	1
C1	0	-	-	1	1	-	1	1
B2	0	-	-	-	1	-	1	1
C1	1	1	1	1	1	1	1	1
B2	0	1	1	-	1	1	1	-
B2	1	1	1	-	0	1	1	-
B2	1	-	-	-	1	-	1	-
B2	1	1	1	1	1	1	1	1
C2	1	1	-	-	1	-	1	-
B2	0	-	1	-	1	1	-	-
B1	0	-	-	1	0	-	-	1
C1	0	0	-	-	0	-	-	-
C1	1	-	1	1	0	1	1	-
B2	1	1	-	-	1	1	-	-
B1	0	-	-	-	0	-	1	-
B2	0	-	-	-	0	-	1	-
B2	0	-	0	-	0	-	0	-
B2	1	1	1	-	1	1	1	1
C1	0	-	-	-	1	1	1	1
C1	0	1	1	1	0	1	1	1
C1	0	-	0	1	0	-	-	-
C1	0	-	-	0	0	-	0	0
B2	0	-	1	-	1	1	1	-
B2	0	-	-	-	1	-	1	-
C1	0	1	1	-	0	-	-	-
C1	0	-	-	-	0	-	-	-
C1	1	1	1	1	1	1	1	1
B1	1	-	-	1	0	-	-	-
B2	1	1	1	-	1	-	1	-
B2	0	1	1	-	0	1	-	-
B1	0	-	-	-	0	-	-	-
C1	0	-	1	-	0	-	1	-
C1	0	0	1	-	1	0	1	-
C1	0	-	-	-	0	-	-	-
C1	0	-	1	-	0	1	-	-
B2	0	0	1	1	0	0	1	1
B2	1	-	1	-	0	-	-	-
B1	1	1	1	1	1	1	1	1
B2	0	-	1	-	0	-	1	-
B2	0	-	1	-	0	-	1	-
B2	1	-	1	-	1	1	1	-
B1	0	-	-	-	0	0	-	-
B2	0	-	-	-	0	-	-	-
C1	0	-	1	-	0	-	1	-
B2	1	-	1	-	1	1	-	-
B1	1	1	1	-	0	-	-	-
B1	0	-	-	-	1	-	-	-
B2	0	-	1	-	0	1	1	-
C1	1	1	1	1	1	1	-	-
B2	0	-	-	-	1	-	-	-
B2	0	-	1	-	0	-	1	-
C1	1	1	1	-	1	1	1	-
B2	0	-	1	-	0	-	1	-
B2	1	-	1	-	0	-	-	1
B2	1	-	1	-	0	-	1	-
B1	0	-	-	-	0	-	-	-
B2	1	-	1	-	1	-	-	-
B2	0	-	1	-	0	-	-	-
B2	0	-	-	-	0	-	-	-
B1	0	-	1	-	0	-	1	-
B2	1	-	-	-	0	-	-	-
B2	1	-	1	-	0	-	1	-
C2	0	-	1	-	1	-	1	-
C1	0	-	1	-	0	-	1	-
A2	0	-	-	-	0	-	-	-
B2	0	-	1	-	0	-	1	-
B2	1	-	-	-	1	-	1	-
C1	1	1	1	-	0	-	1	-
B1	0	1	1	1	0	1	-	1
B2	1	-	1	-	0	-	-	-
B1	1	1	-	-	1	1	1	-
B1	1	-	-	-	1	1	-	-
C1	1	-	1	-	1	-	1	-
A2	1	1	1	1	0	1	-	-
B2	0	-	-	-	0	-	-	-
C1	1	-	1	1	1	1	1	1
B2	0	1	1	1	0	1	-	1
A2	0	0	0	-	0	0	0	0
B1	0	1	-	1	0	1	1	1
B1	1	-	-	1	1	-	-	1
B2	0	-	-	-	0	-	-	-
B2	1	-	1	-	0	-	-	-
B2	0	-	1	1	0	-	1	1
B2	1	-	-	-	0	-	-	-
C1	0	0	1	-	0	0	1	-
C1	0	-	-	-	0	-	-	-
C1	1	1	-	-	1	-	1	-
C1	0	-	1	-	0	-	1	-
C1	1	-	1	1	0	1	1	-
B2	0	-	1	1	0	1	1	-
B2	0	-	1	-	0	-	1	-
C1	1	-	-	-	1	-	1	1
C1	0	0	0	1	1	0	0	1
B2	0	0	-	-	0	0	0	-
C1	0	1	-	-	0	-	-	-
B2	0	-	-	-	0	-	-	-
B2	1	-	-	1	0	-	-	-
B1	1	-	-	-	0	-	-	-
B2	1	-	1	1	0	-	1	-
C1	0	1	1	-	0	1	1	-
C2	0	-	-	-	0	-	-	1
C1	0	1	-	-	1	-	1	-
B2	0	0	1	-	0	0	-	-
B2	0	-	-	-	0	1	-	-
B2	1	-	0	1	1	1	1	1
B2	1	-	-	1	1	1	-	-
B2	0	0	-	1	0	-	-	-
B1	1	1	1	-	1	1	1	-
C1	1	1	1	-	1	1	1	-
B2	0	-	1	-	1	-	1	1
C1	1	-	-	1	1	-	-	1
C1	1	-	-	1	1	-	1	-
B2	1	1	-	1	0	-	1	-
B2	1	1	1	-	1	-	1	-
B2	1	1	1	-	1	1	1	1
C1	1	-	1	1	0	-	-	-
B2	0	-	-	1	0	-	-	1
B2	1	-	1	-	1	-	1	-
C1	0	-	1	-	0	-	-	-
C1	1	-	1	1	1	-	1	1
B1	1	1	1	-	1	-	-	-
C1	0	-	-	-	0	-	-	-
C2	0	-	-	-	0	-	-	-
B2	1	-	-	-	1	-	1	-
C1	0	-	0	-	0	0	-	-
B2	0	-	-	-	0	-	1	1
C1	0	1	1	-	0	-	-	-
B2	0	-	-	-	1	1	-	-
B1	1	1	-	-	1	0	-	-
B1	0	-	-	1	0	-	-	1
B1	1	-	-	1	1	1	-	-
B1	1	-	1	-	1	1	-	-
B2	1	1	1	1	0	1	1	1
C1	0	-	-	-	0	-	1	-
C1	0	-	-	-	0	-	-	-
C1	0	0	0	-	0	0	0	-
B2	0	-	1	-	0	-	1	-
B1	0	1	1	1	0	1	1	1
B1	1	-	1	-	1	-	1	-
B2	0	0	-	-	0	0	-	1
B2	1	1	1	1	0	1	-	-
B2	0	-	1	-	0	-	1	-
B2	0	-	1	-	0	-	1	-
B2	0	-	1	-	0	-	1	-
B1	0	1	1	-	0	-	1	-
C1	0	-	1	-	0	1	1	-
C1	0	-	-	-	0	-	-	-
B2	0	0	0	-	1	-	-	-
C1	1	-	1	1	0	-	1	1
B2	0	-	-	-	0	-	-	-
B2	0	-	1	-	1	-	1	-
A2	1	-	1	-	1	-	1	-
B2	1	1	1	-	1	1	-	-
C1	0	-	-	-	0	-	-	-
B2	1	-	1	-	1	0	-	1
B2	0	-	-	-	0	-	-	-
B1	0	-	-	-	0	1	-	-
B2	1	-	-	1	1	-	-	1
C1	1	1	-	-	1	-	1	-
B2	0	-	-	-	0	-	-	-
B2	0	-	1	-	0	-	1	1
B2	1	1	1	1	0	-	1	1
B2	1	1	1	1	1	1	1	1
B2	0	-	-	-	0	-	-	-
B2	1	-	1	1	0	1	1	-
C1	0	-	-	-	0	-	1	-
B2	0	-	-	-	0	-	-	-
B2	1	1	1	1	1	1	1	1
C1	1	1	1	-	0	1	1	-
C1	1	1	1	1	1	1	1	-
C1	0	-	1	-	0	-	1	-
B2	1	-	1	1	1	-	1	1
B2	1	1	-	-	1	-	1	-
B2	0	-	-	-	1	-	1	-
B2	0	-	-	-	0	-	1	-
C1	0	-	-	-	1	0	1	-
B1	1	-	-	1	1	-	-	1
B2	1	-	1	-	1	-	1	-
B1	1	0	-	-	1	1	-	-
B2	1	-	1	-	1	-	1	-
B2	0	-	-	-	0	-	1	-
B2	0	-	1	-	0	-	-	-
B2	0	-	-	-	0	-	-	-
C1	0	0	-	-	0	0	-	-
B2	1	-	1	-	1	-	1	-
B2	0	-	1	-	0	-	-	-
B2	0	-	1	-	0	-	-	-
B2	0	-	-	-	0	-	-	-
B2	1	-	1	-	1	-	1	-
C1	1	1	1	-	0	-	1	-
B2	0	-	-	-	0	-	-	-
C1	0	-	1	-	0	-	-	-
B2	1	-	1	-	1	1	-	-
B2	1	-	1	-	0	-	1	-
C1	1	-	1	-	1	-	1	-
C1	0	-	-	1	0	-	1	-
B2	0	1	1	1	0	1	1	1
A2	1	-	1	-	1	-	1	-
A2	1	1	1	1	1	1	1	1
B2	1	-	1	-	1	-	1	-
C1	1	-	1	-	1	-	-	1
B2	1	-	1	1	0	-	1	-
B1	0	-	1	-	0	-	-	-
B2	0	-	1	-	0	1	-	-
C1	0	-	-	-	0	-	-	-
B2	1	-	1	-	0	1	-	-
C1	0	-	1	-	0	-	1	-
C1	1	1	1	1	1	1	1	1
B2	1	1	-	1	0	-	1	-
B2	1	-	-	-	0	-	1	-
C1	0	-	-	-	0	-	-	-
B1	1	1	1	1	1	1	-	-
B2	0	0	-	-	0	-	1	-
B2	1	1	1	-	0	-	-	1
C1	1	-	1	-	1	1	1	-
C1	1	-	1	-	0	-	-	1
C1	0	-	1	-	0	-	1	-
B2	1	1	1	-	1	1	1	-
C1	1	1	1	-	0	-	-	-
C1	0	1	1	1	0	1	1	1
B2	1	-	1	1	1	1	1	-
B2	1	1	1	-	1	1	1	1
B2	1	-	1	-	1	-	1	-
B2	1	-	1	-	1	-	-	-
B2	1	-	1	-	1	1	-	-
B2	1	1	1	-	1	1	1	-
B2	1	1	1	-	1	1	1	-
B2	1	1	1	-	1	1	1	1
B1	1	-	1	-	1	-	1	-
B2	1	1	-	-	1	1	-	-
A2	1	-	1	-	0	-	1	-
B2	0	0	-	-	0	0	-	-
C2	0	0	0	0	0	0	0	0
B1	0	0	0	1	1	1	-	-
B2	1	1	1	1	1	1	1	1
B2	1	1	1	1	1	-	-	-
B1	0	-	-	-	0	-	-	-
B2	1	1	-	-	1	-	1	-
B2	1	-	1	-	0	-	-	-
B2	0	-	1	-	0	-	1	-
B1	1	-	1	-	0	-	1	-
C1	0	-	1	-	0	-	1	-
B2	1	-	1	1	1	1	-	1
C1	1	1	1	-	0	-	1	-
C1	1	-	1	-	0	0	0	0
C1	0	1	1	1	1	1	1	1
C1	1	-	1	1	1	-	1	1
C2	1	-	-	-	0	-	-	-
C1	0	-	1	-	0	-	1	-
B2	1	1	1	1	1	1	1	1
C1	0	-	-	1	0	-	-	1
C1	1	-	1	1	1	-	1	1
B2	0	-	1	-	0	-	1	-
C1	0	-	1	1	0	-	1	1
C1	1	-	1	1	1	1	1	-
C1	0	0	0	-	1	1	1	-
C1	0	-	1	-	0	-	1	1
C1	1	-	1	-	1	-	1	-
B2	1	-	1	1	1	-	1	-
C1	1	-	-	1	1	-	1	-
C1	0	-	-	-	0	-	-	-
B2	1	-	-	1	0	-	1	-
C1	0	-	-	-	0	-	1	-
C1	0	-	1	-	0	-	1	-
B1	1	0	1	1	1	0	1	1
